title,genres,rating,platform
Start-Up,Comedy,9.6,Disney+
Hotel del Luna,"Supernatural, Horror",3.6,Crunchyroll
It's Okay to Not Be Okay,"Romance, Horror",7.5,Hulu
Death Note,Adventure,6.6,Viki
Hotel del Luna,"Sci-Fi, Action",5.4,Amazon Prime
My Hero Academia,"Fantasy, Mystery, Adventure",2.9,Crunchyroll
Goblin,"Thriller, Romance, Comedy",2.4,Crunchyroll
My Hero Academia,"Horror, Fantasy, Thriller",1.8,Disney+
It's Okay to Not Be Okay,"Romance, Mystery",9.5,Hulu
Crash Landing on You,Slice of Life,7.8,Viki
Demon Slayer,Sci-Fi,8.0,Crunchyroll
Goodfellas,Supernatural,4.1,Viki
The Godfather,"Comedy, Drama, Action",8.4,Disney+
Attack on Titan,Action,8.8,Disney+
Dragon Ball Z,"Action, Comedy",1.9,Crunchyroll
The Matrix,"Supernatural, Comedy, Horror",4.4,Hulu
Attack on Titan,"Horror, Fantasy",7.7,Viki
Hotel del Luna,Comedy,4.3,Viki
One Piece,"Action, Mystery, Sci-Fi",4.5,Amazon Prime
Descendants of the Sun,Mystery,2.8,Disney+
Tokyo Ghoul,"Mystery, Horror",8.9,Viki
Death Note,"Fantasy, Mystery, Comedy",7.5,Viki
Fullmetal Alchemist,Action,3.0,Crunchyroll
The Matrix,"Slice of Life, Adventure",4.0,Amazon Prime
The Shawshank Redemption,"Action, Sci-Fi",3.1,Netflix
Attack on Titan,Adventure,9.1,Hulu
Goodfellas,"Comedy, Romance",4.5,Netflix
The Godfather,"Action, Fantasy",5.2,Hulu
Jujutsu Kaisen,"Action, Sci-Fi, Comedy",3.4,Netflix
Fullmetal Alchemist,Fantasy,6.8,Disney+
Pulp Fiction,Adventure,9.2,Crunchyroll
It's Okay to Not Be Okay,"Fantasy, Romance",7.0,Netflix
Goblin,"Horror, Thriller",2.5,Hulu
The Dark Knight,"Action, Comedy",7.9,Crunchyroll
Pulp Fiction,"Horror, Slice of Life",6.7,Amazon Prime
Demon Slayer,"Fantasy, Horror, Action",6.2,Viki
Descendants of the Sun,"Mystery, Sci-Fi, Horror",5.2,Amazon Prime
Start-Up,"Thriller, Comedy, Romance",6.7,Crunchyroll
Vincenzo,Mystery,10.0,Netflix
Forrest Gump,"Supernatural, Fantasy, Drama",7.9,Netflix
Tokyo Ghoul,Sci-Fi,2.3,Amazon Prime
It's Okay to Not Be Okay,Action,7.1,Crunchyroll
Fullmetal Alchemist,"Fantasy, Drama",3.4,Netflix
Goodfellas,"Drama, Fantasy",6.8,Amazon Prime
It's Okay to Not Be Okay,"Mystery, Horror",2.6,Viki
Hotel del Luna,"Horror, Comedy",1.7,Disney+
One Piece,"Comedy, Romance",8.0,Crunchyroll
The Dark Knight,"Drama, Comedy, Thriller",9.4,Disney+
My Hero Academia,Comedy,2.2,Hulu
Attack on Titan,"Adventure, Action, Comedy",3.6,Amazon Prime
Tokyo Ghoul,"Thriller, Action, Horror",3.8,Viki
Goblin,"Sci-Fi, Comedy, Drama",3.5,Hulu
Squid Game,"Comedy, Sci-Fi",1.9,Disney+
Forrest Gump,"Action, Slice of Life",1.1,Crunchyroll
Goblin,Fantasy,8.8,Netflix
Crash Landing on You,"Thriller, Sci-Fi, Supernatural",2.0,Netflix
Descendants of the Sun,"Horror, Comedy",1.9,Amazon Prime
Hotel del Luna,"Slice of Life, Sci-Fi, Fantasy",9.5,Viki
Crash Landing on You,"Action, Thriller",6.7,Netflix
Naruto,"Mystery, Thriller",4.0,Amazon Prime
The Godfather,"Supernatural, Thriller",8.4,Amazon Prime
Inception,Comedy,9.4,Crunchyroll
Goodfellas,Slice of Life,9.9,Viki
Crash Landing on You,Adventure,4.9,Crunchyroll
Fullmetal Alchemist,Horror,8.6,Amazon Prime
Hotel del Luna,"Romance, Fantasy, Horror",1.9,Amazon Prime
The Matrix,Mystery,5.3,Crunchyroll
Crash Landing on You,"Fantasy, Slice of Life",6.8,Viki
Jujutsu Kaisen,"Action, Horror",5.2,Hulu
Descendants of the Sun,"Comedy, Horror",3.9,Amazon Prime
The Silence of the Lambs,"Mystery, Sci-Fi",5.3,Disney+
The Godfather,Supernatural,1.4,Crunchyroll
Forrest Gump,Romance,2.6,Hulu
Crash Landing on You,"Sci-Fi, Fantasy",9.8,Netflix
Itaewon Class,Mystery,7.7,Hulu
The Dark Knight,Sci-Fi,9.5,Viki
Goodfellas,"Thriller, Romance",8.2,Hulu
The Matrix,Romance,7.1,Disney+
The Shawshank Redemption,Action,4.4,Viki
The Godfather,"Horror, Thriller, Action",9.8,Netflix
Goblin,"Slice of Life, Drama, Thriller",3.2,Crunchyroll
Fullmetal Alchemist,Horror,1.3,Amazon Prime
Tokyo Ghoul,"Romance, Adventure, Supernatural",4.4,Netflix
Goodfellas,Comedy,4.4,Crunchyroll
The Silence of the Lambs,"Thriller, Supernatural",3.4,Netflix
Jujutsu Kaisen,Sci-Fi,5.0,Netflix
Squid Game,"Action, Adventure, Mystery",2.2,Hulu
The Matrix,"Action, Drama, Horror",1.9,Crunchyroll
Naruto,"Adventure, Drama, Supernatural",9.8,Hulu
Death Note,Thriller,7.5,Disney+
Demon Slayer,"Thriller, Drama",9.0,Amazon Prime
The Matrix,"Thriller, Fantasy",8.4,Viki
Goblin,"Comedy, Mystery, Thriller",3.6,Netflix
The Silence of the Lambs,"Fantasy, Action, Horror",1.9,Disney+
Squid Game,"Fantasy, Mystery, Drama",8.8,Viki
Attack on Titan,Mystery,1.6,Viki
The Godfather,Supernatural,8.5,Disney+
Forrest Gump,Slice of Life,1.8,Netflix
Fullmetal Alchemist,Slice of Life,5.9,Netflix
The Dark Knight,"Action, Adventure",8.3,Disney+
Inception,"Action, Mystery, Horror",2.7,Amazon Prime
Forrest Gump,Drama,7.8,Crunchyroll
Start-Up,"Mystery, Thriller, Slice of Life",5.7,Crunchyroll
Attack on Titan,"Sci-Fi, Comedy",3.6,Netflix
Fullmetal Alchemist,Comedy,1.6,Amazon Prime
The Shawshank Redemption,"Horror, Thriller, Action",1.6,Hulu
Demon Slayer,"Comedy, Adventure, Slice of Life",6.5,Crunchyroll
Inception,"Mystery, Drama",2.0,Viki
Squid Game,"Romance, Horror",5.4,Netflix
Forrest Gump,"Drama, Comedy",6.1,Viki
Demon Slayer,"Romance, Adventure, Comedy",5.8,Amazon Prime
Goblin,"Drama, Slice of Life, Thriller",3.6,Netflix
Itaewon Class,"Adventure, Slice of Life, Comedy",7.8,Amazon Prime
Itaewon Class,Action,2.3,Disney+
Descendants of the Sun,"Mystery, Comedy",1.5,Hulu
The Silence of the Lambs,Thriller,6.7,Viki
The Dark Knight,"Comedy, Mystery, Supernatural",9.2,Crunchyroll
Start-Up,Horror,7.0,Hulu
Hotel del Luna,"Horror, Sci-Fi",8.6,Amazon Prime
It's Okay to Not Be Okay,"Fantasy, Drama",3.3,Hulu
Goblin,Comedy,3.8,Netflix
Death Note,"Romance, Supernatural, Comedy",3.2,Disney+
Inception,"Horror, Comedy, Thriller",2.2,Disney+
Pulp Fiction,"Drama, Mystery, Slice of Life",9.8,Disney+
Forrest Gump,"Horror, Fantasy",4.4,Hulu
Attack on Titan,"Action, Comedy",4.3,Hulu
Start-Up,"Slice of Life, Adventure",8.2,Hulu
Attack on Titan,"Slice of Life, Sci-Fi",6.0,Netflix
Death Note,"Thriller, Adventure, Romance",6.2,Viki
Goblin,Mystery,5.1,Netflix
Descendants of the Sun,Drama,4.5,Amazon Prime
Vincenzo,"Supernatural, Drama",6.0,Netflix
Naruto,"Slice of Life, Action",4.2,Hulu
Fullmetal Alchemist,"Supernatural, Action, Drama",7.7,Amazon Prime
The Godfather,"Action, Comedy, Fantasy",4.6,Crunchyroll
The Shawshank Redemption,"Supernatural, Romance",7.3,Crunchyroll
My Hero Academia,"Horror, Romance",4.5,Hulu
Forrest Gump,"Mystery, Thriller",4.0,Netflix
The Godfather,Sci-Fi,8.1,Amazon Prime
Itaewon Class,"Mystery, Action",5.8,Amazon Prime
Fullmetal Alchemist,"Thriller, Slice of Life",6.2,Hulu
Dragon Ball Z,"Horror, Sci-Fi",6.2,Disney+
Inception,Romance,3.7,Amazon Prime
Squid Game,"Adventure, Slice of Life",9.0,Netflix
The Matrix,"Thriller, Slice of Life, Supernatural",4.8,Amazon Prime
Forrest Gump,Action,9.7,Amazon Prime
It's Okay to Not Be Okay,"Slice of Life, Romance",5.0,Viki
Attack on Titan,Adventure,1.9,Netflix
Goodfellas,Fantasy,5.3,Crunchyroll
Forrest Gump,"Adventure, Drama, Supernatural",7.3,Crunchyroll
Itaewon Class,"Horror, Fantasy",8.5,Crunchyroll
Forrest Gump,"Slice of Life, Action",9.8,Disney+
Forrest Gump,Romance,2.3,Crunchyroll
One Piece,"Supernatural, Horror, Sci-Fi",5.2,Hulu
Forrest Gump,"Mystery, Action, Slice of Life",1.9,Viki
Pulp Fiction,"Thriller, Sci-Fi, Adventure",2.5,Crunchyroll
Naruto,"Thriller, Action",8.9,Hulu
The Dark Knight,"Adventure, Mystery, Comedy",2.0,Crunchyroll
Vincenzo,"Drama, Comedy, Thriller",8.3,Netflix
Pulp Fiction,"Comedy, Mystery, Adventure",3.8,Hulu
The Godfather,"Mystery, Drama",6.1,Crunchyroll
Squid Game,"Romance, Slice of Life, Action",2.9,Netflix
One Piece,"Drama, Comedy, Fantasy",6.8,Crunchyroll
Naruto,"Sci-Fi, Romance, Drama",7.3,Crunchyroll
Inception,"Romance, Drama",2.3,Netflix
Hotel del Luna,"Action, Fantasy, Thriller",7.9,Crunchyroll
Crash Landing on You,"Fantasy, Slice of Life",7.1,Netflix
Goblin,"Slice of Life, Mystery",7.3,Amazon Prime
Jujutsu Kaisen,"Thriller, Fantasy, Action",4.3,Disney+
My Hero Academia,"Supernatural, Comedy, Fantasy",9.4,Amazon Prime
It's Okay to Not Be Okay,Mystery,8.7,Netflix
The Shawshank Redemption,"Thriller, Slice of Life, Adventure",6.1,Netflix
Pulp Fiction,Fantasy,9.8,Viki
It's Okay to Not Be Okay,"Thriller, Horror, Supernatural",3.9,Disney+
The Dark Knight,Supernatural,7.5,Amazon Prime
One Piece,"Slice of Life, Comedy",9.6,Amazon Prime
Itaewon Class,"Comedy, Action",3.5,Viki
Crash Landing on You,"Drama, Romance, Action",6.2,Crunchyroll
Jujutsu Kaisen,Drama,8.3,Amazon Prime
My Hero Academia,"Supernatural, Action, Fantasy",8.2,Netflix
The Silence of the Lambs,"Comedy, Horror",8.1,Amazon Prime
Fullmetal Alchemist,Drama,2.7,Crunchyroll
Descendants of the Sun,"Sci-Fi, Drama, Mystery",4.0,Disney+
Hotel del Luna,Romance,4.4,Viki
Hotel del Luna,Adventure,4.5,Amazon Prime
Hotel del Luna,"Adventure, Thriller, Action",9.0,Hulu
Start-Up,"Mystery, Fantasy",2.4,Amazon Prime
The Shawshank Redemption,"Adventure, Horror",6.1,Crunchyroll
Crash Landing on You,"Horror, Action",4.9,Viki
The Dark Knight,"Supernatural, Sci-Fi, Romance",4.2,Netflix
Goblin,Mystery,3.7,Netflix
Naruto,"Fantasy, Supernatural, Thriller",1.4,Netflix
Forrest Gump,"Thriller, Supernatural, Romance",3.6,Disney+
Goodfellas,"Slice of Life, Sci-Fi, Drama",5.2,Viki
Demon Slayer,"Thriller, Horror, Drama",7.4,Netflix
Start-Up,"Supernatural, Action",4.3,Amazon Prime
Descendants of the Sun,"Mystery, Supernatural, Comedy",2.4,Crunchyroll
The Shawshank Redemption,Action,7.3,Disney+
My Hero Academia,"Thriller, Action",3.5,Disney+
Hotel del Luna,Slice of Life,10.0,Amazon Prime
Fullmetal Alchemist,Comedy,9.2,Hulu
Fullmetal Alchemist,"Action, Fantasy",8.4,Netflix
The Silence of the Lambs,"Action, Comedy, Supernatural",5.9,Hulu
Squid Game,"Sci-Fi, Mystery, Romance",5.3,Viki
Itaewon Class,Drama,6.3,Hulu
It's Okay to Not Be Okay,Slice of Life,8.1,Netflix
The Silence of the Lambs,Slice of Life,2.8,Viki
Dragon Ball Z,"Sci-Fi, Supernatural",6.8,Crunchyroll
Fullmetal Alchemist,"Mystery, Horror",6.1,Amazon Prime
Crash Landing on You,"Drama, Fantasy",4.3,Crunchyroll
Jujutsu Kaisen,"Supernatural, Romance, Slice of Life",5.3,Crunchyroll
The Godfather,Romance,10.0,Amazon Prime
Forrest Gump,Sci-Fi,1.7,Crunchyroll
Demon Slayer,Fantasy,7.4,Netflix
One Piece,Comedy,2.8,Disney+
Death Note,"Sci-Fi, Mystery, Fantasy",3.1,Disney+
One Piece,Fantasy,3.8,Viki
The Godfather,"Thriller, Romance",4.4,Crunchyroll
Forrest Gump,Horror,5.7,Hulu
Pulp Fiction,Horror,6.7,Hulu
Forrest Gump,"Comedy, Thriller, Fantasy",3.5,Viki
Goblin,Action,8.7,Viki
Death Note,Slice of Life,1.8,Hulu
The Matrix,"Horror, Sci-Fi, Slice of Life",2.9,Amazon Prime
The Godfather,Slice of Life,4.9,Netflix
Squid Game,"Slice of Life, Adventure",6.7,Viki
Forrest Gump,"Mystery, Slice of Life, Sci-Fi",7.6,Viki
Pulp Fiction,"Romance, Action",4.0,Netflix
Start-Up,"Adventure, Thriller",2.3,Amazon Prime
The Shawshank Redemption,"Supernatural, Action",4.8,Amazon Prime
Start-Up,Slice of Life,1.8,Hulu
One Piece,"Horror, Thriller, Drama",5.3,Netflix
My Hero Academia,Horror,7.3,Netflix
Squid Game,"Slice of Life, Action",4.4,Viki
Death Note,"Thriller, Action, Mystery",6.9,Disney+
Death Note,Slice of Life,4.7,Viki
Dragon Ball Z,"Thriller, Romance",2.6,Viki
It's Okay to Not Be Okay,Horror,1.1,Disney+
The Matrix,Action,7.8,Amazon Prime
The Dark Knight,Mystery,7.8,Viki
Descendants of the Sun,Supernatural,1.3,Netflix
Vincenzo,"Horror, Action, Slice of Life",8.0,Disney+
The Dark Knight,"Mystery, Action, Horror",7.6,Netflix
My Hero Academia,"Comedy, Action, Drama",5.4,Amazon Prime
Jujutsu Kaisen,"Adventure, Horror",6.6,Netflix
The Matrix,"Action, Supernatural, Horror",6.6,Viki
Goodfellas,"Horror, Romance",5.3,Amazon Prime
Forrest Gump,"Slice of Life, Mystery",2.1,Hulu
Naruto,"Thriller, Supernatural, Adventure",5.8,Crunchyroll
Forrest Gump,"Drama, Supernatural, Slice of Life",7.7,Crunchyroll
Jujutsu Kaisen,"Horror, Comedy, Sci-Fi",4.7,Amazon Prime
The Shawshank Redemption,"Fantasy, Sci-Fi",4.7,Disney+
Itaewon Class,Mystery,1.1,Viki
Naruto,"Romance, Action, Thriller",2.7,Amazon Prime
Tokyo Ghoul,"Mystery, Fantasy",7.2,Viki
Fullmetal Alchemist,"Adventure, Supernatural, Action",4.8,Amazon Prime
The Dark Knight,Drama,9.2,Netflix
The Silence of the Lambs,"Horror, Thriller",9.8,Amazon Prime
It's Okay to Not Be Okay,"Adventure, Sci-Fi, Comedy",3.0,Netflix
Goodfellas,Romance,4.6,Amazon Prime
Hotel del Luna,"Fantasy, Action",6.0,Hulu
Forrest Gump,"Romance, Supernatural",4.9,Netflix
One Piece,"Romance, Drama",3.1,Amazon Prime
Dragon Ball Z,"Thriller, Supernatural",2.7,Amazon Prime
The Matrix,"Thriller, Horror, Slice of Life",8.5,Netflix
Crash Landing on You,"Mystery, Supernatural",5.6,Crunchyroll
Start-Up,"Supernatural, Adventure, Drama",3.1,Disney+
Naruto,"Thriller, Mystery, Drama",4.8,Netflix
The Matrix,"Romance, Action, Sci-Fi",5.0,Hulu
Goodfellas,"Adventure, Thriller, Slice of Life",6.1,Netflix
Naruto,Mystery,2.4,Netflix
Demon Slayer,Supernatural,7.2,Viki
Forrest Gump,"Adventure, Fantasy",4.8,Crunchyroll
Fullmetal Alchemist,Comedy,3.3,Netflix
Inception,"Drama, Thriller",9.9,Crunchyroll
Demon Slayer,Comedy,5.1,Amazon Prime
Crash Landing on You,Action,6.0,Hulu
Pulp Fiction,"Sci-Fi, Horror, Comedy",4.4,Netflix
Hotel del Luna,Horror,6.7,Viki
Descendants of the Sun,"Adventure, Supernatural, Thriller",6.2,Amazon Prime
Squid Game,"Sci-Fi, Romance, Action",10.0,Crunchyroll
The Dark Knight,Supernatural,2.1,Amazon Prime
The Shawshank Redemption,"Adventure, Horror, Romance",6.8,Disney+
Crash Landing on You,"Comedy, Action",1.8,Amazon Prime
Start-Up,Romance,4.4,Amazon Prime
One Piece,"Supernatural, Fantasy",5.6,Crunchyroll
Goodfellas,Adventure,1.8,Disney+
My Hero Academia,Mystery,6.5,Amazon Prime
The Silence of the Lambs,"Romance, Slice of Life",6.0,Netflix
Demon Slayer,"Drama, Action, Mystery",2.7,Disney+
Hotel del Luna,Romance,3.0,Viki
The Silence of the Lambs,"Mystery, Sci-Fi",8.0,Amazon Prime
Goodfellas,"Mystery, Action, Romance",9.1,Crunchyroll
The Dark Knight,"Supernatural, Mystery, Drama",4.5,Viki
My Hero Academia,"Thriller, Mystery",3.6,Viki
The Dark Knight,"Horror, Supernatural",1.4,Crunchyroll
Dragon Ball Z,"Drama, Comedy, Slice of Life",4.9,Disney+
The Shawshank Redemption,"Horror, Drama, Mystery",4.1,Viki
Crash Landing on You,"Supernatural, Action",4.0,Crunchyroll
Inception,"Slice of Life, Fantasy, Romance",9.7,Hulu
Start-Up,"Adventure, Sci-Fi",1.6,Viki
Hotel del Luna,Slice of Life,2.9,Viki
Goodfellas,"Mystery, Supernatural",3.4,Disney+
Crash Landing on You,"Adventure, Drama, Comedy",3.6,Disney+
Jujutsu Kaisen,"Action, Comedy",2.1,Netflix
Hotel del Luna,"Sci-Fi, Horror",4.4,Disney+
Crash Landing on You,"Romance, Fantasy, Thriller",7.4,Amazon Prime
Hotel del Luna,Sci-Fi,9.6,Hulu
One Piece,"Sci-Fi, Drama",5.3,Viki
Itaewon Class,"Action, Fantasy",1.5,Disney+
Dragon Ball Z,"Thriller, Action, Romance",7.0,Netflix
Tokyo Ghoul,Sci-Fi,7.6,Disney+
Jujutsu Kaisen,Mystery,2.7,Netflix
Inception,"Mystery, Romance",4.4,Netflix
Descendants of the Sun,"Supernatural, Thriller, Action",3.8,Disney+
Tokyo Ghoul,Thriller,1.8,Disney+
Attack on Titan,"Adventure, Sci-Fi, Romance",5.4,Crunchyroll
My Hero Academia,"Drama, Supernatural",8.9,Amazon Prime
It's Okay to Not Be Okay,"Mystery, Adventure, Slice of Life",3.1,Crunchyroll
The Shawshank Redemption,"Slice of Life, Fantasy",5.7,Disney+
Fullmetal Alchemist,Supernatural,9.8,Crunchyroll
Start-Up,"Fantasy, Romance",8.1,Amazon Prime
